ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1903532	GO:1903532	positive regulation of secretion by cell	30/720	327/18371	1.48827870405887e-05	0.000572805803659731	0.000489469838228347	Tnfrsf11a/Fcer1g/Tacr2/Itgb2/Myo18a/Unc13d/Tmed10/Edn1/Syk/Ppp3cb/Lgals3/Dab2/Ildr1/Itsn1/Runx1/Prkn/Myom1/Osbp/Tcf7l2/Adrb1/Il1a/Htr6/Atp13a2/Cd38/Cd33/Arhgef7/Lamp1/Exph5/Rab27a/Pdcd6ip	30
GO:0007596	GO:0007596	blood coagulation	19/720	159/18371	1.54238770676864e-05	0.000588843822890543	0.000503174529466203	Serpine2/Fcer1g/Lilrb4a/Lilrb4a/Lyst/Syk/F12/Emilin2/Fermt3/Stxbp3/Lyn/Tec/Ptpn6/Bloc1s3/F7/F10/Gas6/Ubash3b/Rab27a	19
GO:0032653	GO:0032653	regulation of interleukin-10 production	11/720	59/18371	1.55923362243533e-05	0.000590512957488708	0.000504600826191071	Cd28/Fcer1g/Cd84/Lilrb4a/Lilrb4a/Cd83/Syk/Tnfrsf21/Tyrobp/Nod2/Mmp8	11
GO:0050729	GO:0050729	positive regulation of inflammatory response	17/720	133/18371	1.77264963423671e-05	0.000666009791148935	0.000569113829939154	Cd28/Tnfrsf11a/Fcgr3/Fcer1g/Osm/Nlrp1a/Nlrp1b/Pik3cg/Ninj1/Mefv/Tlr6/Alox5ap/Ctsc/Adam8/Casp1/Mmp8/Ets1	17
GO:0032613	GO:0032613	interleukin-10 production	11/720	60/18371	1.84245824851381e-05	0.000686787192792472	0.000586868383674976	Cd28/Fcer1g/Cd84/Lilrb4a/Lilrb4a/Cd83/Syk/Tnfrsf21/Tyrobp/Nod2/Mmp8	11
GO:0033006	GO:0033006	regulation of mast cell activation involved in immune response	9/720	40/18371	1.90374643852752e-05	0.000704088721874162	0.000601652760136616	Fcer1g/Cd84/Lilrb4a/Lilrb4a/Unc13d/Syk/Fer/Lyn/Ptpn6	9
GO:0042590	GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	5/720	10/18371	1.95033538462181e-05	0.000715727729519352	0.000611598440073571	Fcgr3/Fcer1g/Clec4a1/Clec4a3/Clec4a2	5
GO:0007599	GO:0007599	hemostasis	19/720	162/18371	2.01441110923189e-05	0.000727955892450668	0.000622047560689284	Serpine2/Fcer1g/Lilrb4a/Lilrb4a/Lyst/Syk/F12/Emilin2/Fermt3/Stxbp3/Lyn/Tec/Ptpn6/Bloc1s3/F7/F10/Gas6/Ubash3b/Rab27a	19
GO:0050817	GO:0050817	coagulation	19/720	162/18371	2.01441110923189e-05	0.000727955892450668	0.000622047560689284	Serpine2/Fcer1g/Lilrb4a/Lilrb4a/Lyst/Syk/F12/Emilin2/Fermt3/Stxbp3/Lyn/Tec/Ptpn6/Bloc1s3/F7/F10/Gas6/Ubash3b/Rab27a	19
GO:0043087	GO:0043087	regulation of GTPase activity	30/720	333/18371	2.10976184541576e-05	0.00075663731637865	0.000646556201908513	Dock10/Fgd6/Plxnc1/Abr/Ccl6/Gpr137b/Sema4d/Ptk2b/Tbc1d22a/Bcl6/Tiam1/Rasal3/Dock8/Adrb1/Vav2/Arhgap15/Pkp4/Itga6/Rapgef2/Bcar3/Rap1gds1/Arap2/Chn2/Arhgap25/Iqsec1/Plxnd1/Arap1/Arhgef7/Adprhl1/Sipa1l2	30
GO:0002437	GO:0002437	inflammatory response to antigenic stimulus	11/720	62/18371	2.54480725421002e-05	0.000905798311385731	0.000774016167623989	Cd28/Fcgr3/Fcer1g/Enpp1/Lilrb4a/Lilrb4a/Zfp35/Il1rn/Notch1/Nod2/Cysltr1	11
GO:0002823	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	10/720	52/18371	2.85770414107887e-05	0.00100288666845623	0.000856979402503121	Lilrb4a/Lilrb4a/Havcr2/Ppp3cb/Il7r/Nckap1l/Bcl6/Il2/Ptpn6/Nod2	10
GO:0050672	GO:0050672	negative regulation of lymphocyte proliferation	13/720	86/18371	2.87185292011656e-05	0.00100288666845623	0.000856979402503121	Inpp5d/Lilrb4a/Lilrb4a/Havcr2/Cd86/Tnfrsf21/Il2/Lyn/Laptm5/Gpnmb/Ptpn6/Tarm1/Tyrobp	13
GO:0002699	GO:0002699	positive regulation of immune effector process	26/720	273/18371	2.88112773363006e-05	0.00100288666845623	0.000856979402503121	Cd28/Sh2d1b1/Fcgr3/Fcer1g/Cd84/Slamf6/Hlx/Lilrb4a/Lilrb4a/Itgb2/Nlrp3/Myo18a/Unc13d/Syk/Cyrib/Cd86/Fer/Spi1/Il2/Lyn/Laptm5/Ptpn6/Klri1/Tyrobp/Lamp1/Nod2	26
GO:0071219	GO:0071219	cellular response to molecule of bacterial origin	23/720	226/18371	2.91658565991451e-05	0.00100781872365221	0.000861193906342793	Cd84/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Ly86/Mef2c/Cd180/Mapk8/Gch1/Cyrib/Cd86/Cd14/Mrc1/Mir511/Spi1/Il1a/Sirpa/Lyn/Abca1/Tlr6/Nod2/Casp1	23
GO:1902105	GO:1902105	regulation of leukocyte differentiation	28/720	306/18371	2.98189880741341e-05	0.00102292093871703	0.000874098941028965	Cd28/Inpp5d/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Gpr137b/Cd83/Ninj1/Syk/Pik3r1/Il7r/Nfam1/Nckap1l/Bcl6/Runx1/Zfp35/Il2/Lyn/Fgl2/Rhoh/Ptpn6/Tyrobp/Adam8/Gas6/Il15/Ubash3b/Ccr1	28
GO:0034134	GO:0034134	toll-like receptor 2 signaling pathway	6/720	17/18371	3.03190359591286e-05	0.00103259220309723	0.000882363159340639	Pik3ap1/Lyn/Tlr6/Mfhas1/Nod2/Cyba	6
GO:0032755	GO:0032755	positive regulation of interleukin-6 production	14/720	99/18371	3.09025606761339e-05	0.00104494801600584	0.000892921358484081	Rab7b/Fcer1g/Syk/Tbc1d23/Card9/Il1a/Arhgef2/Laptm5/Tlr6/Pou2f2/Tyrobp/Nod2/Cyba/Mmp8	14
GO:0032945	GO:0032945	negative regulation of mononuclear cell proliferation	13/720	87/18371	3.25716891710806e-05	0.00108587589109786	0.000927894747846277	Inpp5d/Lilrb4a/Lilrb4a/Havcr2/Cd86/Tnfrsf21/Il2/Lyn/Laptm5/Gpnmb/Ptpn6/Tarm1/Tyrobp	13
GO:0043367	GO:0043367	CD4-positive, alpha-beta T cell differentiation	13/720	87/18371	3.25716891710806e-05	0.00108587589109786	0.000927894747846277	Ly9/Slamf6/Hlx/Nlrp3/Cd83/Gpr183/Nckap1l/Bcl6/Runx1/Zfp35/Entpd7/Il2/Cracr2a	13
GO:0033007	GO:0033007	negative regulation of mast cell activation involved in immune response	5/720	11/18371	3.46015053228482e-05	0.00113201003335984	0.000967316958664498	Cd84/Lilrb4a/Lilrb4a/Fer/Ptpn6	5
GO:2000106	GO:2000106	regulation of leukocyte apoptotic process	14/720	100/18371	3.4659877606009e-05	0.00113201003335984	0.000967316958664498	Fcer1g/Mef2c/Lgals3/Il7r/St6gal1/Dock8/Siglec1/Il2/Rapgef2/Lyn/Adam8/Gas6/Nod2/Bcl2a1a	14
GO:0030888	GO:0030888	regulation of B cell proliferation	11/720	64/18371	3.46728886432565e-05	0.00113201003335984	0.000967316958664498	Inpp5d/Bcl2/Mef2c/Gpr183/Nckap1l/Bcl6/Tnfrsf21/Il2/Lyn/Cd38/Tyrobp	11
GO:0048872	GO:0048872	homeostasis of number of cells	30/720	343/18371	3.68681694354687e-05	0.00119543776785965	0.00102151676381043	Dock10/Inpp5d/Bcl2/Fcer1g/Enpp1/Lilrb4a/Lilrb4a/Ncapg2/Mef2c/Ppp3cb/Gpr183/Il7r/Nckap1l/Bcl6/Rps14/Tcirg1/Lipa/Exoc6/Card9/Notch1/Spi1/Lmo2/Il2/Lyn/Pirb/Mfhas1/Ets1/Tmod3/Bcl2a1a/Slc25a38	30
GO:0045576	GO:0045576	mast cell activation	12/720	76/18371	3.71849131090747e-05	0.00119750597726775	0.00102328407503168	Fcgr3/Fcer1g/Cd84/Lilrb4a/Lilrb4a/Cd300lf/Unc13d/Syk/Fer/Lyn/Rhoh/Ptpn6	12
GO:0045577	GO:0045577	regulation of B cell differentiation	8/720	34/18371	3.93017754715022e-05	0.00125712571001413	0.00107422989428864	Inpp5d/Lilrb4a/Lilrb4a/Syk/Nfam1/Nckap1l/Il2/Ptpn6	8
GO:0061760	GO:0061760	antifungal innate immune response	6/720	18/18371	4.39745998140387e-05	0.00139715272160845	0.00119388475510668	Card9/Spi1/Clec4a1/Clec4a3/Clec4a2/Clec4d	6
GO:0002573	GO:0002573	myeloid leukocyte differentiation	23/720	233/18371	4.71451218361092e-05	0.00148155475476611	0.00126600736498925	Inpp5d/Tnfrsf11a/Fcer1g/Enpp1/Lilrb4a/Lilrb4a/Cd300lf/Gpr137b/Ninj1/Mef2c/Pik3r1/Gpr183/Runx1/Tcirg1/Spi1/Lyn/Fam20c/Pirb/Tyrobp/Adam8/Il15/Ubash3b/Ccr1	23
GO:0070168	GO:0070168	negative regulation of biomineral tissue development	7/720	26/18371	4.72570274545169e-05	0.00148155475476611	0.00126600736498925	Enpp1/Srgn/Ptk2b/Notch1/Mepe/Gas6/Ccr1	7
GO:0034122	GO:0034122	negative regulation of toll-like receptor signaling pathway	8/720	35/18371	4.92105718121982e-05	0.00152263298665978	0.00130110923614914	Rab7b/Cd300lf/Pik3ap1/Lyn/Smpdl3b/Tlr6/Mfhas1/Nod2	8
GO:0042119	GO:0042119	neutrophil activation	8/720	35/18371	4.92105718121982e-05	0.00152263298665978	0.00130110923614914	Fcer1g/Itgb2/Abr/Syk/Myo1f/Spi1/Tyrobp/Il15	8
GO:0001776	GO:0001776	leukocyte homeostasis	15/720	117/18371	5.266459921986e-05	0.00160847879165688	0.00137446556741543	Dock10/Bcl2/Fcer1g/Enpp1/Lilrb4a/Lilrb4a/Mef2c/Ppp3cb/Gpr183/Nckap1l/Tcirg1/Il2/Lyn/Pirb/Bcl2a1a	15
GO:0071675	GO:0071675	regulation of mononuclear cell migration	15/720	117/18371	5.266459921986e-05	0.00160847879165688	0.00137446556741543	Ninj1/Lgals3/Ptk2b/Cd200r1/Pla2g7/Tnfsf14/Dock8/Spi1/Lyn/Padi2/C3ar1/Adam8/Gas6/Adam10/Ccr1	15
GO:0002886	GO:0002886	regulation of myeloid leukocyte mediated immunity	11/720	67/18371	5.38582787558162e-05	0.00163439161301304	0.00139660840255467	Fcgr3/Fcer1g/Cd84/Itgb2/Abr/Unc13d/Syk/Fer/Spi1/Lyn/Tyrobp	11
GO:0034135	GO:0034135	regulation of toll-like receptor 2 signaling pathway	5/720	12/18371	5.74032148688841e-05	0.00173087145980444	0.00147905165766759	Lyn/Tlr6/Mfhas1/Nod2/Cyba	5
GO:0070664	GO:0070664	negative regulation of leukocyte proliferation	13/720	92/18371	5.93885938470444e-05	0.00177194116845364	0.00151414624560678	Inpp5d/Lilrb4a/Lilrb4a/Havcr2/Cd86/Tnfrsf21/Il2/Lyn/Laptm5/Gpnmb/Ptpn6/Tarm1/Tyrobp	13
GO:0001909	GO:0001909	leukocyte mediated cytotoxicity	17/720	146/18371	5.9513866874552e-05	0.00177194116845364	0.00151414624560678	Sh2d1b1/Fcgr3/Slamf6/Havcr2/Unc13d/Lyst/Ppp3cb/Il7r/Cyrib/Nckap1l/Spi1/Ptpn6/Klri1/Tyrobp/Ctsc/Lamp1/Rab27a	17
GO:0002444	GO:0002444	myeloid leukocyte mediated immunity	14/720	105/18371	6.00945029514874e-05	0.00177804610607713	0.0015193629923853	Fcgr3/Fcer1g/Cd84/Itgb2/Abr/Unc13d/Lyst/Syk/Myo1f/Fer/Card9/Spi1/Lyn/Tyrobp	14
GO:0019221	GO:0019221	cytokine-mediated signaling pathway	32/720	387/18371	6.10868383843554e-05	0.00178891623845426	0.00152865165863512	St18/Tnfrsf11a/Fcer1g/Aim2/Ifngr1/Osm/Ccl6/Cd300lf/Edn1/Syk/Ptk2b/Il7r/Csf2rb/Prkn/Fer/Il1rn/Notch1/Spi1/Il1a/Laptm5/Padi2/Ptpn6/Pirb/Pira6/Il21r/Irf7/Gas6/Acsl1/Il15/Casp1/Mmp12/Ccr1	32
GO:0110150	GO:0110150	negative regulation of biomineralization	7/720	27/18371	6.1651974746532e-05	0.00178891623845426	0.00152865165863512	Enpp1/Srgn/Ptk2b/Notch1/Mepe/Gas6/Ccr1	7
GO:0032623	GO:0032623	interleukin-2 production	11/720	68/18371	6.20088970503467e-05	0.00178891623845426	0.00152865165863512	Cd28/Fcer1g/Lilrb4a/Lilrb4a/Havcr2/Cd83/Runx1/Card9/Il1a/Laptm5/Nod2	11
GO:0032495	GO:0032495	response to muramyl dipeptide	6/720	19/18371	6.21467235710506e-05	0.00178891623845426	0.00152865165863512	Nlrp1a/Erbin/Card9/Notch1/Arhgef2/Nod2	6
GO:0051051	GO:0051051	negative regulation of transport	37/720	476/18371	6.23513264353514e-05	0.00178891623845426	0.00152865165863512	Lmbrd1/Serpine2/Pid1/Sp100/Bcl2/Rgs2/Cd84/Esr1/Enpp1/Tacr2/Osm/Abr/Cd300lf/Rin3/Edn1/Tifab/Mctp1/Lgals3/Ptk2b/Nckap1l/Trat1/Prkn/Rab11fip3/Nedd4l/Il1rn/Notch1/Spi1/Sirpa/Stxbp3/Htr6/Gbp4/Kel/Cd33/Ucp2/Prkcb/Ano9/Wwp2	37
GO:0002833	GO:0002833	positive regulation of response to biotic stimulus	19/720	178/18371	7.44543843131386e-05	0.00212329551408674	0.00181438299882937	Sh2d1b1/Slamf6/Aim2/Havcr2/Ly86/Syk/Cd180/Emilin2/Riok3/Card9/Spi1/Klri1/Tyrobp/Adam8/Irf7/Lamp1/Nod2/Cyba/Mmp12	19
GO:0032731	GO:0032731	positive regulation of interleukin-1 beta production	10/720	58/18371	7.62593350987168e-05	0.00216174666082231	0.00184723999233765	Aim2/Nlrp3/Nlrp1a/Nlrp1b/Mefv/Tlr6/Tyrobp/Nod2/Casp1/Smad3	10
GO:1990266	GO:1990266	neutrophil migration	15/720	121/18371	7.79355788741162e-05	0.00219611327613134	0.00187660670183727	Sell/Fcgr3/Fcer1g/Itgb2/Ccl6/Edn1/Syk/Lgals3/Nckap1l/Il1a/Rhoh/C3ar1/C5ar2/Adam8/Nod2	15
GO:0051047	GO:0051047	positive regulation of secretion	31/720	375/18371	7.96189476447907e-05	0.00222331702470302	0.00189985265068679	Tnfrsf11a/Fcer1g/Tacr2/Itgb2/Myo18a/Unc13d/Tmed10/Edn1/Syk/Ppp3cb/Lgals3/Dab2/Ildr1/Itsn1/Runx1/Prkn/Myom1/Osbp/Tcf7l2/Adrb1/Il1a/Htr6/Atp13a2/Cd38/Cd33/Arhgef7/Lamp1/Cyba/Exph5/Rab27a/Pdcd6ip	31
GO:1902107	GO:1902107	positive regulation of leukocyte differentiation	19/720	179/18371	8.03099305501091e-05	0.00222331702470302	0.00189985265068679	Inpp5d/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Ninj1/Syk/Il7r/Nckap1l/Bcl6/Runx1/Il2/Rhoh/Tyrobp/Adam8/Gas6/Il15/Ccr1	19
GO:1903708	GO:1903708	positive regulation of hemopoiesis	19/720	179/18371	8.03099305501091e-05	0.00222331702470302	0.00189985265068679	Inpp5d/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Ninj1/Syk/Il7r/Nckap1l/Bcl6/Runx1/Il2/Rhoh/Tyrobp/Adam8/Gas6/Il15/Ccr1	19
GO:0046637	GO:0046637	regulation of alpha-beta T cell differentiation	11/720	70/18371	8.15211070262858e-05	0.00224372628292115	0.00191729262118737	Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Syk/Nckap1l/Bcl6/Runx1/Zfp35/Il2	11
GO:0002831	GO:0002831	regulation of response to biotic stimulus	29/720	342/18371	8.59730458080256e-05	0.00235258034020343	0.00201030979641157	Sh2d1b1/Cd84/Slamf6/Aim2/Havcr2/Ly86/Syk/Cd180/Myo1f/Treml4/Emilin2/Gata6/Riok3/Card9/Spi1/Smpdl3b/Fgl2/Gbp4/Klri1/Tyrobp/Adam8/Irf7/Lamp1/Il15/N4bp1/Nod2/Cyba/Mmp12/Ccr1	29
GO:0002707	GO:0002707	negative regulation of lymphocyte mediated immunity	10/720	59/18371	8.86403552771584e-05	0.0023978482393261	0.00204899179145937	Sh2d1b1/Lilrb4a/Lilrb4a/Havcr2/Ppp3cb/Il7r/Nckap1l/Bcl6/Ptpn6/Nod2	10
GO:0033003	GO:0033003	regulation of mast cell activation	10/720	59/18371	8.86403552771584e-05	0.0023978482393261	0.00204899179145937	Fcer1g/Cd84/Lilrb4a/Lilrb4a/Cd300lf/Unc13d/Syk/Fer/Lyn/Ptpn6	10
GO:0043312	GO:0043312	neutrophil degranulation	5/720	13/18371	9.02737440287179e-05	0.00242815854677245	0.00207489233434428	Itgb2/Abr/Syk/Myo1f/Spi1	5
GO:0001782	GO:0001782	B cell homeostasis	8/720	38/18371	9.21592402210033e-05	0.00246486917065666	0.00210626202895817	Dock10/Bcl2/Enpp1/Mef2c/Nckap1l/Lyn/Pirb/Bcl2a1a	8
GO:0042100	GO:0042100	B cell proliferation	13/720	96/18371	9.3005993158769e-05	0.00246567176204028	0.0021069478534945	Inpp5d/Bcl2/Mef2c/Cd180/Gpr183/Il7r/Nckap1l/Bcl6/Tnfrsf21/Il2/Lyn/Cd38/Tyrobp	13
GO:0019724	GO:0019724	B cell mediated immunity	18/720	166/18371	9.32309348130989e-05	0.00246567176204028	0.0021069478534945	Cd28/Inpp5d/Fcgr3/Fcer1g/Enpp1/Ighv1-47/Csf2rb/Bcl6/Tcirg1/Card9/Il2/Fgl2/Ptpn6/Pirb/Pou2f2/Il21r/Irf7/Nod2	18
GO:0071887	GO:0071887	leukocyte apoptotic process	15/720	123/18371	9.41465014127903e-05	0.00247605298715639	0.00211581874227692	Fcer1g/Mef2c/Lgals3/Il7r/St6gal1/Tnfrsf21/Dock8/Siglec1/Il2/Rapgef2/Lyn/Adam8/Gas6/Nod2/Bcl2a1a	15
GO:0002507	GO:0002507	tolerance induction	7/720	29/18371	0.000101200190371932	0.00264686022773883	0.0022617756999089	Lilrb4a/Lilrb4a/Havcr2/Cd86/Runx1/Lyn/C3ar1	7
GO:1902622	GO:1902622	regulation of neutrophil migration	9/720	49/18371	0.000104362599253172	0.00271457442233251	0.00231963833967577	Sell/Edn1/Nckap1l/Il1a/Rhoh/C3ar1/C5ar2/Adam8/Nod2	9
GO:0017157	GO:0017157	regulation of exocytosis	22/720	230/18371	0.000108994846362021	0.00281957159933228	0.00240935976168678	Rims1/Syt2/Fcer1g/Cd84/Itgb2/Abr/Unc13d/Syk/Nckap1l/Prkn/Fer/Notch1/Spi1/Stxbp3/Lyn/Atp13a2/Prkcb/Lamp1/Nr3c2/Exph5/Rab27a/Pdcd6ip	22
GO:0046634	GO:0046634	regulation of alpha-beta T cell activation	14/720	111/18371	0.000110936331389163	0.00285419887389291	0.00243894920782924	Cd28/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Syk/Nckap1l/Bcl6/Runx1/Rasal3/Zfp35/Il2/Tarm1	14
GO:0007249	GO:0007249	I-kappaB kinase/NF-kappaB signaling	21/720	215/18371	0.000115440936710531	0.00292660194372189	0.00250081855106914	Esr1/Lilrb4a/Lilrb4a/Ube2n/Edn1/Tifab/Prkn/Riok3/Btrc/Card9/Il1a/Sirpa/Alpk1/Elp1/Tlr6/Rhoh/Clec4d/Akap13/Prkcb/Nod2/Casp1	21
GO:0070665	GO:0070665	positive regulation of leukocyte proliferation	17/720	154/18371	0.000116118721047498	0.00292660194372189	0.00250081855106914	Cd28/Bcl2/Havcr2/Syk/Mef2c/Gpr183/Csf2rb/Nckap1l/St6gal1/Bcl6/Cd86/Rasal3/Il1a/Il2/Lyn/Cd38/Il15	17
GO:0032693	GO:0032693	negative regulation of interleukin-10 production	6/720	21/18371	0.000116223313354397	0.00292660194372189	0.00250081855106914	Cd84/Lilrb4a/Lilrb4a/Tnfrsf21/Tyrobp/Mmp8	6
GO:0071800	GO:0071800	podosome assembly	6/720	21/18371	0.000116223313354397	0.00292660194372189	0.00250081855106914	Arpc2/Mapk8/Lcp1/Bin2/Hck/Arhgef2	6
GO:0050854	GO:0050854	regulation of antigen receptor-mediated signaling pathway	10/720	61/18371	0.000118564260614263	0.00296975243252869	0.00253769119209476	Lilrb4a/Lilrb4a/Prkch/Lgals3/Nfam1/Trat1/Lyn/Laptm5/Ptpn6/Prkcb	10
GO:0071222	GO:0071222	cellular response to lipopolysaccharide	21/720	216/18371	0.000123276809384865	0.00307153902962079	0.00262466913277582	Cd84/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Ly86/Mef2c/Cd180/Mapk8/Gch1/Cd86/Cd14/Mrc1/Mir511/Spi1/Il1a/Sirpa/Lyn/Abca1/Nod2/Casp1	21
GO:0042116	GO:0042116	macrophage activation	13/720	99/18371	0.000128008211231543	0.00317272707837762	0.00271113560629827	Cd84/Ifngr1/Havcr2/Myo18a/Gpr137b/Syk/Tlr6/Tyrobp/Ctsc/Mfhas1/Slc7a2/Casp1/Mmp8	13
GO:0070371	GO:0070371	ERK1 and ERK2 cascade	28/720	333/18371	0.000130626467114544	0.00322075882979296	0.00275217934825214	Tnfrsf11a/Esr1/Havcr2/Ccl6/Gcnt2/Edn1/Syk/Prxl2c/Ptk2b/Gpr183/Dab2/Card9/Notch1/Il1a/Sirpa/Rapgef2/Iqgap3/Npnt/Lyn/Epha7/Gpnmb/Ptpn6/C5ar2/Vrk3/Gas6/Mfhas1/Nod2/Ccr1	28
GO:0045580	GO:0045580	regulation of T cell differentiation	17/720	156/18371	0.000136120051673421	0.00333017914851589	0.00284568040107321	Cd28/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Syk/Il7r/Nckap1l/Bcl6/Runx1/Zfp35/Il2/Fgl2/Rhoh/Adam8/Il15	17
GO:0032663	GO:0032663	regulation of interleukin-2 production	10/720	62/18371	0.00013647121985891	0.00333017914851589	0.00284568040107321	Cd28/Lilrb4a/Lilrb4a/Havcr2/Cd83/Runx1/Card9/Il1a/Laptm5/Nod2	10
GO:0045582	GO:0045582	positive regulation of T cell differentiation	13/720	100/18371	0.000141956812807773	0.00344627462477946	0.00294488546083816	Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Syk/Il7r/Nckap1l/Bcl6/Runx1/Il2/Rhoh/Adam8	13
GO:0034612	GO:0034612	response to tumor necrosis factor	19/720	187/18371	0.000143825552460923	0.00347382737423473	0.00296842963537769	St18/Pid1/Tnfrsf11a/Aim2/Ccl6/Syk/Erbin/Gch1/Ptk2b/Prkn/Tnfrsf21/Map4k3/Cd14/Npnt/Laptm5/Gas6/Asah1/Casp1/Adam10	19
GO:0002710	GO:0002710	negative regulation of T cell mediated immunity	6/720	22/18371	0.000154537908308949	0.00369486089865941	0.00315730559080962	Lilrb4a/Lilrb4a/Ppp3cb/Il7r/Nckap1l/Nod2	6
GO:0140632	GO:0140632	inflammasome complex assembly	6/720	22/18371	0.000154537908308949	0.00369486089865941	0.00315730559080962	Aim2/Nlrp3/Nlrp1a/Nlrp1b/Mefv/Tlr6	6
GO:0001906	GO:0001906	cell killing	20/720	204/18371	0.000158305380214213	0.00376591793936725	0.00321802473506067	Sh2d1b1/Fcgr3/Slamf6/Havcr2/Unc13d/Lyst/Syk/Ppp3cb/Lgals3/Il7r/Cyrib/Nckap1l/Spi1/Cd5l/Ptpn6/Klri1/Tyrobp/Ctsc/Lamp1/Rab27a	20
GO:0036230	GO:0036230	granulocyte activation	8/720	41/18371	0.0001623150405178	0.00384199700905632	0.00328303526689423	Fcer1g/Itgb2/Abr/Syk/Myo1f/Spi1/Tyrobp/Il15	8
GO:1903305	GO:1903305	regulation of regulated secretory pathway	18/720	174/18371	0.000170142102212904	0.0040072274222681	0.00342422675466976	Rims1/Syt2/Fcer1g/Cd84/Itgb2/Abr/Unc13d/Syk/Nckap1l/Fer/Notch1/Spi1/Stxbp3/Lyn/Prkcb/Lamp1/Nr3c2/Rab27a	18
GO:0002312	GO:0002312	B cell activation involved in immune response	12/720	89/18371	0.000178882210094025	0.00417867574610022	0.00357073152608524	Cd28/Dock10/Enpp1/Lilrb4a/Lilrb4a/Cd180/Ptk2b/Gpr183/Bcl6/Spi1/Il2/Lfng	12
GO:0042093	GO:0042093	T-helper cell differentiation	10/720	64/18371	0.000179186982775316	0.00417867574610022	0.00357073152608524	Ly9/Slamf6/Hlx/Nlrp3/Gpr183/Bcl6/Zfp35/Entpd7/Il2/Cracr2a	10
GO:0002279	GO:0002279	mast cell activation involved in immune response	9/720	53/18371	0.000195762108634054	0.00454283246212554	0.00388190806749571	Fcer1g/Cd84/Lilrb4a/Lilrb4a/Unc13d/Syk/Fer/Lyn/Ptpn6	9
GO:0002294	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	10/720	65/18371	0.000204443238598392	0.00472114288548678	0.0040342765901598	Ly9/Slamf6/Hlx/Nlrp3/Gpr183/Bcl6/Zfp35/Entpd7/Il2/Cracr2a	10
GO:0002819	GO:0002819	regulation of adaptive immune response	20/720	209/18371	0.00021920817925006	0.00503753165325138	0.00430463481276434	Cd28/Fcgr3/Fcer1g/Hlx/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Mef2c/Ppp3cb/Il7r/Cyrib/Nckap1l/Bcl6/Samsn1/Card9/Il2/Ptpn6/Irf7/Nod2	20
GO:0071674	GO:0071674	mononuclear cell migration	18/720	178/18371	0.000226206453670988	0.00517324324482347	0.00442060209233464	Ccl6/Ninj1/Lgals3/Ptk2b/Gpr183/Cd200r1/Pla2g7/Tnfsf14/Dock8/Spi1/Sirpa/Lyn/Padi2/C3ar1/Adam8/Gas6/Adam10/Ccr1	18
GO:0042554	GO:0042554	superoxide anion generation	8/720	43/18371	0.000229892871940544	0.00522858852762765	0.00446789533979789	Ncf2/Itgb2/Edn1/Syk/Ncf4/Fpr2/Tyrobp/Cyba	8
GO:0016064	GO:0016064	immunoglobulin mediated immune response	17/720	163/18371	0.000231819181588849	0.00522858852762765	0.00446789533979789	Cd28/Inpp5d/Fcgr3/Fcer1g/Enpp1/Ighv1-47/Csf2rb/Bcl6/Tcirg1/Card9/Il2/Fgl2/Ptpn6/Pou2f2/Il21r/Irf7/Nod2	17
GO:0002293	GO:0002293	alpha-beta T cell differentiation involved in immune response	10/720	66/18371	0.000232621538877657	0.00522858852762765	0.00446789533979789	Ly9/Slamf6/Hlx/Nlrp3/Gpr183/Bcl6/Zfp35/Entpd7/Il2/Cracr2a	10
GO:0050871	GO:0050871	positive regulation of B cell activation	13/720	105/18371	0.000233044397830468	0.00522858852762765	0.00446789533979789	Cd28/Inpp5d/Bcl2/Ighv1-47/Syk/Mef2c/Gpr183/Nckap1l/Bcl6/Il2/Cd38/Nod2/Sh3kbp1	13
GO:0018108	GO:0018108	peptidyl-tyrosine phosphorylation	26/720	311/18371	0.000245606411254855	0.00545868897126988	0.00466451909292023	Sh2d1b1/Lilrb4a/Lilrb4a/Itgb2/Osm/Aatk/Sema4d/Syk/Ptk2b/Samsn1/Fer/Osbp/Hck/Il2/Arhgef2/Lyn/Epha7/Tec/Epgn/Pxn/Ptpn6/Gas6/Il15/Nod2/Aplp2/Cbl	26
